NAMESPACE     LAST SEEN   TYPE      REASON                         OBJECT                                               MESSAGE
kube-system   2m28s       Normal    Pulling                        pod/node-local-dns-mrvqm                             Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260422.00_p0@sha256:4ceac22ea251c0996e6f58165c9b79b44bd98de251a4b38ffaf072a89974671c"
kube-system   2m28s       Normal    Created                        pod/netd-xlp69                                       Container created
kube-system   2m28s       Normal    Pulled                         pod/netd-xlp69                                       Container image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251007.00_p0@sha256:638afa0822ed4c4aad9ff9f8528667a9d04dd5e1c7b1c251e9344ca7dd4aad68" already present on machine and can be accessed by the pod
gmp-system    2m27s       Warning   FailedMount                    pod/collector-2hn2m                                  MountVolume.SetUp failed for volume "kube-api-access-5x22b" : object "gmp-system"/"kube-root-ca.crt" not registered
gmp-system    2m27s       Warning   FailedMount                    pod/collector-2hn2m                                  MountVolume.SetUp failed for volume "collection-secret" : object "gmp-system"/"collection" not registered
argocd        2m27s       Normal    Scheduled                      pod/argocd-server-5df668db89-fl7gx                   Successfully assigned argocd/argocd-server-5df668db89-fl7gx to gke-cnip-gke-platform-01bed97e-rkph
kube-system   2m27s       Normal    Started                        pod/netd-xlp69                                       Container started
gmp-system    2m27s       Warning   FailedMount                    pod/collector-2hn2m                                  MountVolume.SetUp failed for volume "config" : object "gmp-system"/"collector" not registered
argocd        2m27s       Normal    Scheduled                      pod/argocd-repo-server-7df895d8f4-pr26x              Successfully assigned argocd/argocd-repo-server-7df895d8f4-pr26x to gke-cnip-gke-platform-01bed97e-rkph
kube-system   2m26s       Normal    Pulled                         pod/netd-xlp69                                       Container image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/netd:v0.10.12-gke.16@sha256:cb62348b061dc61180a3879c13c7cf1d3176312a167196776cf829e5c90c86c9" already present on machine and can be accessed by the pod
kube-system   2m26s       Normal    Pulled                         pod/fluentbit-gke-v29rz                              Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260222.00_p0@sha256:f1538ec13c7dbe0e95cd5aab7a25c29280d41a3909d86d400b43d66b54642da8" in 1.977s (1.977s including waiting). Image size: 2927935 bytes.
kube-system   2m26s       Normal    Pulling                        pod/gke-metadata-server-96f78                        Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-metadata-server:gke_metadata_server_20260309.00_p0@sha256:2fd008f6a58022a2880e918c0f484e9f2680d55ef42176d43a3ba89efaa155ef"
kube-system   2m26s       Normal    ScalingReplicaSet              deployment/konnectivity-agent                        Scaled up replica set konnectivity-agent-79cd9446fc from 1 to 2
argocd        2m26s       Normal    TaintManagerEviction           pod/argocd-repo-server-7df895d8f4-pr26x              Cancelling deletion of Pod argocd/argocd-repo-server-7df895d8f4-pr26x
argocd        2m26s       Normal    Pulling                        pod/argocd-repo-server-7df895d8f4-pr26x              Pulling image "quay.io/argoproj/argocd:v3.5.1"
kube-system   2m26s       Normal    Started                        pod/gke-metadata-server-96f78                        Container started
kube-system   2m26s       Normal    Pulled                         pod/gke-metadata-server-96f78                        Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251006.01_p0@sha256:9042573fdb0db543b09002011fd5231eb1b0799bc345f40bd39454deaef0f7ab" in 1.977s (1.977s including waiting). Image size: 2877654 bytes.
kube-system   2m26s       Normal    Created                        pod/gke-metadata-server-96f78                        Container created
kube-system   2m26s       Normal    Scheduled                      pod/konnectivity-agent-79cd9446fc-bkzh9              Successfully assigned kube-system/konnectivity-agent-79cd9446fc-bkzh9 to gke-cnip-gke-platform-01bed97e-rkph
argocd        2m26s       Normal    Pulling                        pod/argocd-server-5df668db89-fl7gx                   Pulling image "quay.io/argoproj/argocd:v3.5.1"
kube-system   2m26s       Normal    SuccessfulCreate               replicaset/konnectivity-agent-79cd9446fc             Created pod: konnectivity-agent-79cd9446fc-bkzh9
default       2m26s       Warning   ReadOnlyFileSystemDetected     node/gke-cnip-gke-platform-01bed97e-rkph             
kube-system   2m26s       Normal    Pulling                        pod/fluentbit-gke-v29rz                              Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-distroless/bash:gke_distroless_20260615.00_p0@sha256:b98f4278dc5123fbad96c54ba8301c512d32f4716528ab30faea15108c68c52e"
argocd        2m26s       Normal    TaintManagerEviction           pod/argocd-server-5df668db89-fl7gx                   Cancelling deletion of Pod argocd/argocd-server-5df668db89-fl7gx
kube-system   2m26s       Normal    Started                        pod/fluentbit-gke-v29rz                              Container started
kube-system   2m26s       Normal    Created                        pod/fluentbit-gke-v29rz                              Container created
kube-system   2m25s       Normal    Scheduled                      pod/kube-dns-77d469c9c9-h2h5f                        Successfully assigned kube-system/kube-dns-77d469c9c9-h2h5f to gke-cnip-gke-platform-01bed97e-rkph
kube-system   2m25s       Normal    SuccessfulCreate               replicaset/kube-dns-77d469c9c9                       Created pod: kube-dns-77d469c9c9-h2h5f
kube-system   2m25s       Normal    ScalingReplicaSet              deployment/kube-dns                                  Scaled up replica set kube-dns-77d469c9c9 from 1 to 2
kube-system   2m23s       Normal    Started                        pod/netd-xlp69                                       Container started
kube-system   2m23s       Normal    Pulling                        pod/konnectivity-agent-79cd9446fc-bkzh9              Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251019.00_p0@sha256:2e1549e4692726aecc70364a1d6700cf276db2d9b4da90179284ca8de168c976"
kube-system   2m23s       Normal    Pulled                         pod/gke-metrics-agent-85s2d                          Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260312.00_p0@sha256:d31f982e00598633fd2e94787f76894e29e80a3d87f5e15eacfc42b40e866de8" in 3.493s (5.47s including waiting). Image size: 2929568 bytes.
kube-system   2m23s       Normal    Created                        pod/netd-xlp69                                       Container created
kube-system   2m23s       Normal    Pulled                         pod/netd-xlp69                                       Container image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20251007_2300_RC0@sha256:0d590a9fb5339909d425b2eede28ac05cc76346092cbe82602c7618f047c25f0" already present on machine and can be accessed by the pod
kube-system   2m23s       Normal    Created                        pod/netd-xlp69                                       Container created
